name,rSeason,r3Ptstat,nbaServicableShooter,rAge,rG,rGS,rMP,rFG,rFGA,r2P,r2PA,r3P,r3PA,rFT,rFTA,rPTS,r3PpG,r3PApG,r3Pp36,r3PAp36,rFG%,r2P%,r3P%,rFT%,rTS%,reFG%,rUsgPct,r3Pp100,r3PAp100,season,3PtStat,collegeServicableShooter,age,class,height,school,conf,role,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sseason,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sseason,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
Donovan Mitchell,2017,1.101725919,TRUE,21,79,71,2638,595,1362,408,812,187,550,239,297,1616,2.367,6.962,2.552,7.506,0.437,0.502,0.34,0.805,0.541,0.506,29.1,3.6,10.5,2016,1.232304583,TRUE,20,So,75,Louisville,ACC,Combo G,1865,1.9,2.3,328,23.3,49.8,53.4,9,13,64,116,0.552,37,101,0.366,87,108,0.806,101,218,0.463,50.9,80,4.289544236,226,12.11796247,0.354,2015,19,20.8,48.9,52.8,14,16,38,53,0.717,28,65,0.431,43,57,0.754,66,118,0.559,37.9,18,72,0.25,,,,,,,,,,,,,,,,,,,,,,,,4.04,7.65,3.03,5.47,110.3,16.3
Xavier Tillman,2020,0.575593259,FALSE,22,59,12,1085,167,299,145,234,22,65,34,53,390,0.373,1.102,0.73,2.157,0.559,0.62,0.338,0.642,0.605,0.595,14.3,1,2.9,2019,0.44163051,FALSE,21,Jr,80,Michigan St.,B10,PF/C,1733,4.5,2.3,398,21.6,57.2,59.3,28,33,129,179,0.721,23,71,0.324,82,123,0.667,152,250,0.608,16.7,13,0.750144259,50,2.885170225,0.26,2018,20,20.1,62.2,65.2,24,28,124,173,0.717,12,38,0.316,93,127,0.732,136,211,0.645,11.3,8,27,0.296,,,,,,,,,,,,,,,,,,,,,,,,4.22,8.31,3.11,5.39,111.1,22.2
Caleb Houstan,2022,0.961964864,TRUE,20,51,4,812,66,182,20,46,46,136,15,18,193,0.902,2.667,2.039,6.03,0.363,0.435,0.338,0.833,0.508,0.489,11,2.7,8.1,2021,1.073255814,TRUE,19,Fr,80,Michigan,B10,Wing F,1849,2.6,4,99,17,48.9,53,2,2,38,69,0.551,11,46,0.239,65,83,0.783,49,115,0.426,59.5,60,3.244997296,169,9.140075717,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,3.13,1.69,2.79,108.5,3.7
Frank Kaminsky,2015,0.818570156,TRUE,22,81,3,1708,215,525,147,323,68,202,108,148,606,0.84,2.494,1.433,4.258,0.41,0.455,0.337,0.73,0.513,0.474,17.1,2,5.9,2014,0.949679648,TRUE,21,Sr,85,Wisconsin,B10,PF/C,1938,4.3,1.2,319,28.1,59,62.8,31,34,137,180,0.761,88,207,0.425,156,200,0.78,225,387,0.581,20.7,42,2.167182663,101,5.211558308,0.416,2013,20,25.1,57.8,61.1,16,18,112,160,0.7,46,111,0.414,101,132,0.765,159,273,0.582,26.4,37,98,0.378,,,,,,,,,,,,,,,,,,,,,,,,6.14,9.21,5.18,7.01,117.6,15.3
Cole Anthony,2020,0.865768676,TRUE,20,47,34,1273,219,552,161,380,58,172,109,131,605,1.234,3.66,1.64,4.864,0.397,0.424,0.337,0.832,0.496,0.449,24.3,2.2,6.6,2019,1.189419804,TRUE,19,Fr,75,North Carolina,ACC,Combo G,1207,2,1.3,51,29,45.1,50.1,3,3,37,69,0.536,45,135,0.333,96,128,0.75,82,204,0.402,40.9,49,4.05965203,141,11.68185584,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,3.86,0.32,1.6,106.8,13.5
Marcus Smart,2014,0.917435284,TRUE,20,67,38,1808,175,477,84,205,91,272,82,127,523,1.358,4.06,1.812,5.416,0.367,0.41,0.335,0.646,0.491,0.462,15.1,2.5,7.5,2013,0.927867127,FALSE,19,So,76,Oklahoma St.,B12,Scoring PG,1703,1.6,1,312,29.9,48.6,55.2,16,18,78,110,0.709,36,113,0.319,182,250,0.728,114,222,0.514,42.5,49,2.877275396,164,9.630064592,0.299,2012,18,28.1,45.5,53.2,13,15,67,112,0.598,47,132,0.356,167,215,0.777,113,243,0.465,35,38,131,0.29,,,,,,,,,,,,,,,,,,,,,,,,4.97,8.34,4.05,6.59,113.5,16.2
Ja Morant,2019,0.67,TRUE,20,67,67,2074,447,937,387,758,60,179,239,308,1193,0.896,2.672,1.041,3.107,0.477,0.511,0.335,0.776,0.556,0.509,25.9,1.4,4,2018,1.026377996,TRUE,19,So,75,Murray St.,OVC,Pure PG,1954,1,1,385,36,54.7,60.8,28,31,160,264,0.606,34,92,0.37,211,259,0.815,194,356,0.545,29.9,56,2.86591607,152,7.778915046,0.368,2017,18,22.9,50,56.3,15,15,89,147,0.605,12,43,0.279,107,134,0.799,103,196,0.526,29.5,24,82,0.293,,,,,,,,,,,,,,,,,,,,,,,,6.08,7.71,6.14,7.21,112.9,19.9
Jamal Murray,2016,1.029457138,TRUE,19,82,10,1764,295,730,180,386,115,344,106,120,811,1.402,4.195,2.347,7.02,0.404,0.466,0.334,0.883,0.518,0.483,21.6,3.2,9.5,2015,1.478287212,TRUE,18,Fr,76,Kentucky,SEC,Wing G,2110,2.4,2,402,25.4,55.9,59,18,19,77,111,0.694,54,150,0.36,119,152,0.783,131,261,0.502,51.5,113,5.355450237,277,13.12796209,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,5.81,3.75,4.21,115.6,17.9
Walker Kessler,2022,0.105303846,FALSE,21,74,40,1703,298,414,297,411,1,3,82,159,679,0.014,0.041,0.021,0.063,0.72,0.723,0.333,0.516,0.702,0.721,13.3,0,0.1,2021,0.353332627,FALSE,20,So,85,Auburn,SEC,C,1602,5,2.8,266,19,62.7,62.7,79,81,141,180,0.783,12,38,0.316,53,89,0.596,153,218,0.702,18.7,10,0.624219725,50,3.121098627,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,6.11,2.19,4.28,109.6,27.1
Jarrett Allen,2017,0.235466558,FALSE,19,72,31,1441,234,397,229,382,5,15,114,147,587,0.069,0.208,0.125,0.375,0.589,0.599,0.333,0.776,0.636,0.596,16.3,0.2,0.5,2016,0,FALSE,18,Fr,83,Texas,B12,C,1772,5,2.8,-82,22.9,56.6,57.1,45,48,98,138,0.71,81,170,0.476,84,149,0.564,179,309,0.579,2.2,0,0,7,0.39503386,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1.81,0.61,1.99,95.9,-6.1
Isaiah Stewart,2020,0.482562846,FALSE,19,68,14,1455,226,409,205,346,21,63,64,92,537,0.309,0.926,0.52,1.559,0.553,0.592,0.333,0.696,0.597,0.578,15.5,0.7,2.1,2019,0.268105187,FALSE,18,Fr,81,Washington,P12,C,1739,5,2,153,24.2,57.7,62.9,26,30,134,193,0.694,53,124,0.427,154,199,0.774,187,317,0.59,5.9,5,0.287521564,20,1.150086256,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,4.47,1.75,2.53,104.4,14.9
Patrick McCaw,2016,0.780954224,TRUE,21,71,20,1074,106,245,65,122,41,123,29,37,282,0.577,1.732,1.374,4.123,0.433,0.533,0.333,0.784,0.54,0.516,11.9,1.8,5.5,2015,1.057774463,TRUE,20,So,79,UNLV,MWC,Combo G,1949,1.9,1.7,68,20.3,54.6,57.9,13,14,69,104,0.663,23,59,0.39,80,104,0.769,92,163,0.564,51.9,62,3.181118522,176,9.030271934,0.352,2014,19,19.3,51.8,53.8,2,2,32,57,0.561,15,48,0.313,37,52,0.712,47,105,0.448,59,57,151,0.377,,,,,,,,,,,,,,,,,,,,,,,,1.66,2.89,1.81,3,102.9,3.2
Kira Lewis Jr.,2020,0.842430769,TRUE,19,54,0,904,130,337,90,217,40,120,43,51,343,0.741,2.222,1.593,4.779,0.386,0.415,0.333,0.843,0.477,0.445,18.3,2.1,6.4,2019,1.000598055,TRUE,18,So,75,Alabama,SEC,Scoring PG,2038,1.4,1.1,138,24.7,52,55.9,6,6,117,203,0.576,33,93,0.355,105,131,0.802,150,296,0.507,34.2,56,2.747791953,154,7.55642787,0.364,2018,17,22,50.7,54.8,2,2,73,128,0.57,30,84,0.357,90,115,0.783,103,212,0.486,41.6,54,151,0.358,,,,,,,,,,,,,,,,,,,,,,,,3,4.08,1.71,2.89,105.8,6.2
Cam Reddish,2019,0.909219445,TRUE,20,58,34,1551,213,554,130,304,83,250,101,126,610,1.431,4.31,1.926,5.803,0.384,0.428,0.332,0.802,0.5,0.459,18.9,2.5,7.5,2018,1.224690334,TRUE,19,Fr,80,Duke,ACC,Wing F,1974,2.1,3.6,381,23.6,45.9,49.9,7,11,41,80,0.512,24,85,0.282,88,114,0.772,65,165,0.394,61.8,89,4.508611955,267,13.52583587,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,4.93,1.02,2.95,115,31.5
Anthony Edwards,2020,1.071146395,TRUE,19,72,55,2314,505,1211,334,691,171,520,211,272,1392,2.375,7.222,2.66,8.09,0.417,0.483,0.329,0.776,0.523,0.488,27,3.5,10.6,2019,1.035968043,FALSE,18,Fr,77,Georgia,SEC,Wing G,1870,2.5,2,-25,28.8,47,51.7,27,27,89,129,0.69,37,122,0.303,127,165,0.77,126,251,0.502,48.6,69,3.689839572,237,12.67379679,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.82,1.53,2.54,104.7,7.8
Bryce McGowens,2022,0.712039325,TRUE,20,46,7,787,80,202,54,122,26,80,60,80,246,0.565,1.739,1.189,3.659,0.396,0.443,0.325,0.75,0.519,0.46,15,1.6,4.8,2021,0.76417857,FALSE,19,Fr,79,Nebraska,B10,Wing G,1877,3.4,2.6,-102,26.2,45.3,53.3,18,19,91,162,0.562,29,89,0.326,162,195,0.831,120,251,0.478,36.8,40,2.131060202,146,7.778369739,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.17,0.53,0.89,102.9,4.8
Miles Bridges,2018,0.775926865,TRUE,20,80,25,1696,237,511,172,311,65,200,58,77,597,0.813,2.5,1.38,4.245,0.464,0.553,0.325,0.753,0.548,0.527,15.1,1.9,5.7,2017,1.250074297,TRUE,19,So,79,Michigan St.,B10,Wing F,1663,3.2,2.8,264,25,53.6,57.3,30,35,84,128,0.656,54,137,0.394,93,110,0.845,138,262,0.527,42.5,71,4.269392664,194,11.66566446,0.366,2016,18,25.5,56.3,58,38,41,87,125,0.696,34,94,0.362,63,92,0.685,121,220,0.55,39.6,56,144,0.389,,,,,,,,,,,,,,,,,,,,,,,,4.77,7.02,4.7,6.19,117.5,26.2
Trae Young,2018,0.966584916,TRUE,20,81,81,2503,525,1256,369,774,156,482,343,414,1549,1.926,5.951,2.244,6.932,0.418,0.477,0.324,0.829,0.539,0.48,28.4,2.9,8.9,2017,1.443205793,TRUE,19,Fr,74,Oklahoma,B12,Pure PG,2046,1,1,110,38.4,51.9,58.6,0,0,105,201,0.522,38,89,0.427,236,274,0.861,143,290,0.493,53,118,5.767350929,327,15.98240469,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,6.74,6.62,7.76,115.2,18.2
Cameron Payne,2015,0.910664812,TRUE,21,57,1,698,114,278,78,167,36,111,19,24,283,0.632,1.947,1.857,5.725,0.41,0.467,0.324,0.792,0.49,0.475,20.3,2.6,7.9,2014,1.306197815,TRUE,20,So,74,Murray St.,OVC,Pure PG,1794,1.1,1,376,31.3,52.9,56.7,3,3,53,87,0.609,96,208,0.462,126,161,0.783,149,294,0.507,42.8,82,4.570791527,220,12.26309922,0.373,2013,19,29.6,48.2,53.1,1,1,59,113,0.522,53,134,0.396,119,149,0.799,112,247,0.453,45.5,71,206,0.345,,,,,,,,,,,,,,,,,,,,,,,,5.24,6.89,5.39,6.13,116.6,20
Taurean Prince,2016,0.731695018,TRUE,22,59,10,981,114,285,81,183,33,102,74,94,335,0.559,1.729,1.211,3.743,0.4,0.443,0.324,0.787,0.513,0.458,17.2,1.7,5.1,2015,1.072329789,TRUE,21,Sr,80,Baylor,B12,Wing F,1666,3.4,2.7,120,27.2,49.3,53.7,14,15,78,123,0.634,52,156,0.333,110,143,0.769,130,278,0.468,34.6,53,3.181272509,147,8.823529412,0.361,2014,20,26.1,55.8,57.3,15,18,71,106,0.67,30,86,0.349,63,98,0.643,103,196,0.526,42.9,59,147,0.401,,,,,,,,,,,,,,,,,,,,,,,,3.61,4.41,3.64,4.82,111.2,5.7
Bennedict Mathurin,2022,0.829802025,TRUE,20,78,17,2222,413,951,313,641,100,310,376,454,1302,1.282,3.974,1.62,5.023,0.434,0.488,0.323,0.828,0.566,0.487,24.6,2.1,6.6,2021,1.181143896,TRUE,19,So,78,Arizona,P12,Wing G,2212,2.8,2.9,476,23.5,53.7,57.7,38,42,111,174,0.638,24,86,0.279,136,178,0.764,135,260,0.519,46.2,83,3.752260398,223,10.08137432,0.372,2020,18,18.7,57.2,62.5,13,14,39,56,0.696,11,40,0.275,66,78,0.846,50,96,0.521,48.7,38,91,0.418,,,,,,,,,,,,,,,,,,,,,,,,4.46,5.71,4.35,4.91,118.2,29.8
Nik Stauskas,2014,0.833476334,TRUE,21,73,1,1127,108,296,60,147,48,149,55,64,319,0.658,2.041,1.533,4.76,0.365,0.408,0.322,0.859,0.492,0.446,14.2,2.1,6.7,2013,1.431504046,TRUE,20,So,78,Michigan,B10,Combo G,1983,2.2,1.5,213,23.9,58.6,64.2,15,17,53,87,0.609,40,99,0.404,168,204,0.824,93,186,0.5,52.8,92,4.639435199,208,10.48915784,0.442,2012,19,16.4,59.6,63,6,7,38,57,0.667,20,59,0.339,70,83,0.843,58,116,0.5,60.8,79,180,0.439,,,,,,,,,,,,,,,,,,,,,,,,5.24,5.82,4.77,4.67,122.3,23.7
Marquese Chriss,2016,0.799283554,TRUE,19,82,75,1743,284,632,212,408,72,224,113,181,753,0.878,2.732,1.487,4.627,0.449,0.52,0.321,0.624,0.529,0.506,19.7,2,6.2,2015,0.665410463,FALSE,18,Fr,81,Washington,P12,PF/C,1660,4.2,2.6,122,23.7,56.2,58.6,52,65,102,145,0.703,56,133,0.421,89,130,0.685,159,279,0.57,17.7,21,1.265060241,60,3.614457831,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,2.63,1.3,2.33,106.4,5.8
Domantas Sabonis,2016,0.703275764,TRUE,20,81,66,1632,192,481,141,322,51,159,44,67,479,0.63,1.963,1.125,3.507,0.399,0.438,0.321,0.657,0.469,0.452,15.4,1.5,4.8,2015,0.30580392,FALSE,19,So,83,Gonzaga,WCC,PF/C,1908,5,1.9,312,26,61.2,65.1,22,24,157,214,0.734,67,149,0.45,149,194,0.768,224,364,0.615,3.7,5,0.262054507,14,0.733752621,0.357,2014,18,21.9,65.6,66.4,14,15,109,149,0.732,25,55,0.455,76,115,0.661,137,209,0.656,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3.73,5.71,3.5,4.54,115.7,23.4
Caris LeVert,2016,0.855330989,TRUE,22,57,26,1237,171,380,112,196,59,184,67,93,468,1.035,3.228,1.717,5.355,0.45,0.571,0.321,0.72,0.556,0.528,16.6,2.3,7.1,2014,1.10661924,TRUE,20,Jr,79,Michigan,B10,Wing G,879,2.2,1.4,76,26,47.8,52.4,4,5,28,42,0.667,30,95,0.316,49,60,0.817,58,136,0.426,34.9,28,3.185437998,73,8.304891923,0.384,2013,19,21.4,52,55.8,11,11,57,83,0.687,46,141,0.326,92,120,0.767,103,224,0.46,39.6,60,147,0.408,,,,,,,,,,,,,,,,,,,,,,,,1.77,4.26,1,2.51,100.3,5
Semi Ojeleye,2017,0.743612802,TRUE,23,73,0,1150,65,188,25,63,40,125,25,41,195,0.548,1.712,1.252,3.913,0.346,0.397,0.32,0.61,0.473,0.452,9,1.7,5.4,2016,1.282140687,TRUE,22,Jr,79,SMU,Amer,Wing F,1881,3.7,2.2,525,24.5,57.2,62.1,28,34,84,132,0.636,53,125,0.424,172,219,0.785,137,259,0.529,39.9,73,3.880914407,172,9.144072302,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,5.48,4.87,4.59,119.5,26.6
R.J. Barrett,2019,0.757258212,TRUE,19,56,55,1704,292,727,229,530,63,197,156,254,803,1.125,3.518,1.331,4.162,0.402,0.432,0.32,0.614,0.479,0.445,24,1.8,5.6,2018,0.96049946,TRUE,18,Fr,79,Duke,ACC,Wing G,2437,2.7,1.3,516,31.3,50.6,53.2,40,42,168,262,0.641,78,204,0.382,149,224,0.665,246,465,0.529,33.8,73,2.995486254,237,9.72507181,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,6.29,1.93,2.86,117,34.5
Troy Brown,2018,0.67670119,TRUE,19,52,10,730,97,234,75,165,22,69,32,47,248,0.423,1.327,1.085,3.403,0.415,0.455,0.319,0.681,0.487,0.462,16.5,1.4,4.5,2017,0.711896041,FALSE,18,Fr,79,Oregon,P12,Wing G,1838,2.8,2.9,156,21.7,49.4,53.2,13,17,85,135,0.63,26,77,0.338,78,105,0.743,111,212,0.524,34.2,32,1.741022851,110,5.98476605,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,3.4,1.95,3.18,118.8,16.5
Kelly Oubre,2015,0.75443966,TRUE,20,63,9,671,90,211,65,132,25,79,31,49,236,0.397,1.254,1.341,4.238,0.427,0.492,0.316,0.633,0.507,0.486,17.4,1.8,5.7,2014,0.976066489,TRUE,19,Fr,79,Kansas,B12,Wing F,1278,3.6,3,137,22,51.2,55.5,17,22,48,77,0.623,28,75,0.373,79,110,0.718,76,153,0.497,38.3,34,2.660406886,95,7.433489828,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,4.34,2.02,4.21,105,9.6
Jordan Clarkson,2014,0.643508508,TRUE,22,59,38,1476,267,596,229,475,38,121,131,158,703,0.644,2.051,0.927,2.951,0.448,0.482,0.314,0.829,0.528,0.48,23,1.3,4.2,2013,0.670878305,FALSE,21,Jr,77,Missouri,SEC,Combo G,2000,1.4,1.4,129,27.3,48.1,54.6,10,11,118,186,0.634,59,169,0.349,162,195,0.831,177,354,0.5,24.4,32,1.6,114,5.7,0.281,2011,19,27,49.1,54.9,3,3,66,109,0.606,58,160,0.362,134,171,0.784,124,269,0.461,29.9,43,115,0.374,,,,,,,,,,,,,,,,,,,,,,,,3.01,3.33,2.51,2.81,109.2,4.3
Ziaire Williams,2021,0.920828757,TRUE,20,62,31,1346,191,424,115,182,76,242,43,55,501,1.226,3.903,2.033,6.473,0.45,0.632,0.314,0.782,0.559,0.54,14.9,2.7,8.6,2020,0.818731055,FALSE,19,Fr,80,Stanford,P12,Wing F,998,3,3.1,20,25.8,43.1,47.3,10,11,26,49,0.531,27,75,0.36,39,49,0.796,53,124,0.427,38.9,23,2.304609218,79,7.915831663,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,2.58,-0.13,1.16,99.3,11.4
Jerami Grant,2014,0.749664725,TRUE,20,65,11,1377,124,352,75,196,49,156,114,193,411,0.754,2.4,1.281,4.078,0.352,0.383,0.314,0.591,0.47,0.422,16.5,1.8,5.7,2013,0,FALSE,19,So,80,Syracuse,ACC,C,1520,3.9,2.9,278,21.4,49.6,54.7,28,33,88,129,0.682,45,135,0.333,120,178,0.674,133,263,0.506,1.9,0,0,5,0.328947368,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,5.4,2.09,3.03,110.4,17.3
Frank Jackson,2018,0.812768848,TRUE,20,61,16,1169,194,447,141,278,53,169,54,73,495,0.869,2.77,1.632,5.204,0.434,0.507,0.314,0.74,0.517,0.493,18.5,2.1,6.7,2016,1.133332786,TRUE,18,Fr,75,Duke,ACC,Combo G,1567,2.1,2.7,255,20.4,56.4,59.8,4,4,60,90,0.667,22,62,0.355,77,102,0.755,82,152,0.539,45.9,51,3.254626675,129,8.232291002,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,4.99,3.43,3.73,116,15.9
Cade Cunningham,2021,0.915459447,TRUE,20,64,64,2088,429,1031,315,668,114,363,142,168,1114,1.781,5.672,1.966,6.259,0.416,0.472,0.314,0.845,0.504,0.471,27.5,2.7,8.5,2020,1.188064337,TRUE,19,Fr,80,Oklahoma St.,B12,Wing F,1757,2.5,1.1,78,28.6,51.6,57.5,7,9,67,108,0.62,46,137,0.336,132,156,0.846,114,246,0.463,38.7,62,3.528742174,155,8.821855435,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,3.91,1.3,2.93,106.3,15.6
Marvin Bagley III,2018,0.533019793,FALSE,19,62,4,1567,356,706,326,610,30,96,181,262,923,0.484,1.548,0.689,2.205,0.504,0.534,0.313,0.691,0.562,0.525,24.2,0.9,2.9,2017,0.686088106,FALSE,18,Fr,83,Duke,ACC,PF/C,1942,4.7,2.2,425,25.8,64,64.3,94,98,193,264,0.731,54,118,0.458,131,209,0.627,247,382,0.647,13.2,23,1.184346035,58,2.98661174,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,7.39,5.11,6.01,124.6,34.8
Isaiah Jackson,2021,0.370346594,FALSE,20,36,15,541,116,206,111,190,5,16,60,88,297,0.139,0.444,0.333,1.065,0.563,0.584,0.313,0.682,0.607,0.575,22.5,0.5,1.4,2020,0,FALSE,19,Fr,82,Kentucky,SEC,C,919,5,2.8,93,21.3,54,58.7,23,25,55,80,0.688,19,54,0.352,63,90,0.7,74,135,0.548,1.5,0,0,2,0.217627856,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,5.18,0.76,3.3,104.1,9.5
Dennis Smith Jr.,2017,0.901744254,TRUE,20,69,69,2049,404,1024,298,685,106,339,134,193,1048,1.536,4.913,1.862,5.956,0.395,0.435,0.313,0.694,0.473,0.446,28.9,2.6,8.3,2016,0.987284281,TRUE,19,Fr,75,North Carolina St.,ACC,Scoring PG,2023,1,1,-25,28.2,52,56.3,22,22,103,161,0.64,33,107,0.308,143,200,0.715,136,267,0.509,36.4,55,2.718734553,153,7.56302521,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,4.42,3.46,5.08,106.3,-3.6
Greg Brown III,2021,0.674231933,TRUE,20,48,6,640,81,190,62,129,19,61,44,65,225,0.396,1.271,1.069,3.431,0.426,0.481,0.311,0.677,0.515,0.476,17.2,1.5,4.7,2020,1.020272455,TRUE,19,Fr,81,Texas,B12,PF/C,952,5,3.8,129,25.8,49.7,53.5,14,21,39,72,0.542,12,30,0.4,51,72,0.708,51,102,0.5,47.2,30,3.151260504,91,9.558823529,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,4.68,0.39,2.3,110.6,24.5
Zach Collins,2017,0.720374902,TRUE,20,66,1,1045,115,289,80,176,35,113,27,42,292,0.53,1.712,1.206,3.893,0.398,0.455,0.31,0.643,0.475,0.458,15.4,1.7,5.4,2016,0.643232056,FALSE,19,Fr,85,Gonzaga,WCC,C,1150,5,2.3,335,24.8,67.6,70.3,20,24,95,127,0.748,30,59,0.508,110,148,0.743,125,186,0.672,10.1,10,0.869565217,21,1.826086957,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,5.59,2.74,4.73,117.5,33.8
Andrew Wiggins,2014,0.459804306,FALSE,19,82,82,2969,497,1137,458,1011,39,126,354,466,1387,0.476,1.537,0.473,1.528,0.437,0.453,0.31,0.76,0.517,0.454,22.6,0.7,2.2,2013,0.877215263,TRUE,18,Fr,80,Kansas,B12,Wing F,1904,3.2,3,279,25.1,49.9,56.3,36,40,92,132,0.697,54,161,0.335,176,227,0.775,146,296,0.493,29.9,43,2.258403361,126,6.617647059,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,7.15,3.83,5.5,113.3,13.7
Bobby Portis,2015,0.477151548,FALSE,20,62,4,1102,186,436,170,384,16,52,48,66,436,0.258,0.839,0.523,1.699,0.427,0.443,0.308,0.727,0.469,0.445,20.7,0.7,2.4,2014,0.589144504,FALSE,19,So,82,Arkansas,SEC,PF/C,1885,5,2.4,246,25.7,55.2,58.2,32,36,149,204,0.73,87,229,0.38,115,156,0.737,236,436,0.541,6.4,14,0.74270557,30,1.591511936,0.467,2013,18,21.3,52.4,56.2,19,21,94,124,0.758,58,159,0.365,87,118,0.737,152,283,0.537,10.4,9,33,0.273,,,,,,,,,,,,,,,,,,,,,,,,3.99,5.28,3.25,4.07,111.9,11.3
De'Aaron Fox,2017,0.598453173,FALSE,20,73,60,2026,328,797,281,644,47,153,141,195,844,0.644,2.096,0.835,2.719,0.412,0.436,0.307,0.723,0.478,0.441,23.4,1.2,3.8,2016,0.457382332,FALSE,19,Fr,75,Kentucky,SEC,Scoring PG,1996,1.3,1.2,365,27.6,49.7,54.8,20,21,131,203,0.645,66,176,0.375,156,211,0.739,197,379,0.52,15.4,17,0.851703407,69,3.456913828,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,6.75,3.35,4.74,117.6,29.1
Jabari Smith,2022,0.851890427,TRUE,19,79,79,2451,364,892,244,501,120,391,162,206,1010,1.519,4.949,1.763,5.743,0.408,0.487,0.307,0.786,0.514,0.475,18.4,2.4,7.7,2021,1.365120467,TRUE,18,Fr,82,Auburn,SEC,Stretch 4,1787,3.9,1.8,273,26.2,52.2,57.1,14,15,41,63,0.651,63,176,0.358,131,164,0.799,104,239,0.435,43.9,79,4.420817012,187,10.46446558,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,5.59,2.29,3.96,110.2,26.2
